deaths,active,confirmed,district,isolation,recovered,hospitalized_today,observation,total_hospitalized
61,4510,14463,Kasaragod,4066,9888,97,5372,1306
61,6211,16673,Kannur,15284,10398,161,16464,1180
5,1175,4833,Wayanad,3470,3653,137,4318,848
85,10944,29312,Kozhikode,28363,18277,502,32081,3718
95,8712,32932,Malappuram,48884,24118,206,50848,1964
40,6586,17086,Palakkad,16845,10459,187,18634,1789
60,8985,21107,Thrissur,12079,12058,320,14586,2507
92,12341,27321,Ernakulam,30539,14880,232,33106,2567
5,1438,4920,Idukki,12296,3475,46,12743,447
29,5350,14852,Kottayam,16390,9473,114,18353,1963
56,6315,20095,Alappuzha,11102,13719,784,14320,3218
6,3157,10599,Pathanamthitta,7700,7435,140,8807,1107
77,8181,21401,Kollam,17628,13139,246,19245,1617
306,12016,44261,Thiruvananthapuram,27068,31902,716,31510,4442
978,95921,279855,Total,251714,182874,3888,280387,28673
