deaths,isolation,active,confirmed,observation,recovered,district,hospitalized_today,total_hospitalized
78,6939,1674,22797,7199,21041,Kasaragod,15,260
171,23243,2941,34912,23747,31794,Kannur,60,504
29,11428,2251,12762,12216,10481,Wayanad,62,788
231,30912,5611,74474,32384,68623,Kozhikode,154,1472
260,84301,7142,79635,85445,72223,Malappuram,107,1144
89,13611,4720,41756,14615,36941,Palakkad,79,1004
288,22904,6170,64376,24498,57911,Thrissur,102,1594
253,27038,7855,70653,28386,62534,Ernakulam,107,1348
13,9201,3033,13410,9542,10362,Idukki,16,341
126,11958,5239,40293,13593,34926,Kottayam,202,1635
195,7420,3444,50373,8530,46716,Alappuzha,84,1110
27,9257,2695,22551,10135,19828,Pathanamthitta,62,878
190,14299,3361,50778,14993,47216,Kollam,90,694
583,30056,3381,75271,31208,71249,Thiruvananthapuram,138,1152
2533,302567,59517,654041,316491,591845,Total,1278,13924
