hospitalized_today,deaths,observation,active,district,confirmed,isolation,total_hospitalized,recovered
16,88,4835,1594,Kasaragod,24812,4617,218,23126
51,220,13952,2770,Kannur,41887,13569,383,38884
45,54,8931,2759,Wayanad,18781,8579,352,15967
75,320,21266,4988,Kozhikode,91580,20396,870,86256
75,357,21923,4326,Malappuram,95474,21288,635,90780
22,149,9766,4762,Palakkad,50233,9297,469,45315
98,349,25608,5587,Thrissur,78781,24584,1024,72835
105,338,27010,8696,Ernakulam,90662,25641,1369,81610
37,25,7044,3872,Idukki,18621,6601,443,14720
191,166,13305,5476,Kottayam,56102,12107,1198,50455
124,255,8085,4021,Alappuzha,60768,6944,1141,56471
110,63,10740,7102,Pathanamthitta,35134,9657,1083,27964
88,234,10387,5044,Kollam,63201,9757,630,57908
118,684,21083,3182,Thiruvananthapuram,85112,19944,1139,81176
1155,3302,203935,64179,Total,811148,192981,10954,743467
