deaths,observation,total_hospitalized,district,confirmed,recovered,hospitalized_today,active,isolation
93,6904,234,Kasaragod,27244,25371,25,1773,6670
267,14504,449,Kannur,49897,45807,39,3800,14055
75,6174,251,Wayanad,24721,22183,20,2462,5923
420,25439,710,Kozhikode,110778,104387,99,5949,24729
393,23874,498,Malappuram,110419,106714,115,3298,23376
172,10869,507,Palakkad,56924,53244,44,3499,10362
404,22001,887,Thrissur,92025,87085,107,4522,21114
396,25079,1328,Ernakulam,114898,104412,147,10064,23751
36,9753,433,Idukki,25235,21428,33,3766,9320
188,16633,1101,Kottayam,72608,67583,141,4831,15532
315,11780,979,Alappuzha,72289,68125,95,3826,10801
94,18830,976,Pathanamthitta,49382,42314,81,6966,17854
280,14670,786,Kollam,79746,74053,98,5392,13884
787,28257,1250,Thiruvananthapuram,97208,92141,134,4201,27007
3920,234767,10389,Total,983374,914847,1178,64349,224378
