hospitalized_today,total_hospitalized,observation,district,isolation,active
10,113,6712,Kasaragod,6599,123
26,390,25103,Kannur,24713,329
11,72,3585,Wayanad,3513,54
32,277,16604,Kozhikode,16327,163
49,609,40361,Malappuram,39752,458
44,242,12637,Palakkad,12395,244
34,222,15984,Thrissur,15762,200
31,295,13467,Ernakulam,13172,229
25,94,5633,Idukki,5539,95
6,130,8562,Kottayam,8432,132
22,272,6430,Alappuzha,6158,250
19,193,5054,Pathanamthitta,4861,201
19,136,9565,Kollam,9429,171
144,472,14415,Thiruvananthapuram,13943,450
472,3517,184112,Total,180595,3099
