observation,total_hospitalized,hospitalized_today,isolation,district,active
4701,966,40,3735,Kasaragod,1127
8919,381,45,8538,Kannur,486
2774,363,25,2411,Wayanad,311
13784,984,105,12800,Kozhikode,1186
32536,1065,197,31471,Malappuram,1389
11530,548,65,10982,Palakkad,647
10982,539,46,10443,Thrissur,514
12336,1237,61,11099,Ernakulam,1211
3848,286,23,3562,Idukki,291
9708,456,143,9252,Kottayam,474
7190,1104,110,6086,Alappuzha,1053
5028,253,34,4775,Pathanamthitta,257
7710,619,64,7091,Kollam,562
18249,3075,365,15174,Thiruvananthapuram,3229
149295,11876,1323,137419,Total,12737
