deaths,isolation,confirmed,recovered,total_hospitalized,district,active,observation,hospitalized_today
63,4022,14705,10393,1308,Kasaragod,4245,5330,90
63,15357,17086,10745,1103,Kannur,6275,16460,141
5,3689,4981,3749,888,Wayanad,1227,4577,113
87,28995,30531,19231,3671,Kozhikode,11207,32666,520
100,50804,34383,25177,2043,Malappuram,9099,52847,267
40,16302,17726,11005,1753,Palakkad,6680,18055,140
63,12396,22067,12638,2480,Thrissur,9362,14876,368
92,30844,28549,15916,2626,Ernakulam,12533,33470,406
5,12552,5043,3525,437,Idukki,1511,12989,40
31,15750,15269,9634,2078,Kottayam,5604,17828,294
60,11479,20714,14448,3303,Alappuzha,6201,14782,611
6,7734,10977,7675,1101,Pathanamthitta,3295,8835,137
80,18831,22113,14560,1599,Kollam,7469,20430,207
308,27417,45058,33102,4362,Thiruvananthapuram,11611,31779,324
1003,256172,289202,191798,28752,Total,96319,284924,3658
