deaths,total_hospitalized,observation,confirmed,hospitalized_today,district,recovered,isolation,active
73,428,5640,20010,22,Kasaragod,17926,5212,2007
132,873,18731,28009,75,Kannur,23180,17858,4692
19,598,10527,8297,76,Wayanad,7176,9929,1102
153,2352,27335,56369,254,Kozhikode,48003,24983,8206
172,1347,70725,58469,184,Malappuram,51586,69378,6702
63,1172,16160,30546,135,Palakkad,23968,14988,6513
163,2302,27680,48569,276,Thrissur,39198,25378,9203
180,2067,32628,54453,162,Ernakulam,43891,30561,10371
9,442,14409,8596,36,Idukki,6659,13967,1926
62,1956,20465,28446,214,Kottayam,23527,18509,4855
120,1098,14662,39425,160,Alappuzha,31272,13564,8017
16,767,10188,17012,60,Pathanamthitta,14972,9421,2023
134,1265,18107,39652,112,Kollam,33803,16842,5708
475,2367,27989,64866,262,Thiruvananthapuram,57249,25622,7095
1771,19034,315246,502719,2028,Total,422410,296212,78420
