recovered,deaths,district,hospitalized_today,isolation,observation,confirmed,total_hospitalized,active
25420,93,Kasaragod,18,6942,7187,27346,245,1826
46139,269,Kannur,26,13858,14264,50148,406,3714
22491,75,Wayanad,20,6101,6345,24901,244,2334
105053,421,Kozhikode,81,24424,25172,111392,748,5896
107303,393,Malappuram,82,23499,23979,110832,480,3121
53386,172,Palakkad,46,10532,11039,57151,507,3584
87458,405,Thrissur,110,21577,22487,92400,910,4523
105081,398,Ernakulam,86,22924,24264,115530,1340,10025
21909,36,Idukki,33,9501,9932,25431,431,3481
68085,191,Kottayam,198,14633,15795,72991,1162,4708
68548,321,Alappuzha,62,10868,11770,72631,902,3738
42766,94,Pathanamthitta,120,19178,20173,50076,995,7208
74359,281,Kollam,95,14500,15257,80325,757,5664
92541,787,Thiruvananthapuram,151,27266,28521,97501,1255,4093
920539,3936,Total,1128,225803,236185,988655,10382,63915
