hospitalized_today,district,observation,isolation,total_hospitalized,active
17,Kasaragod,6416,6287,129,141
86,Kannur,25050,24619,431,347
4,Wayanad,3578,3505,73,65
40,Kozhikode,15714,15457,257,176
69,Malappuram,41048,40420,628,494
49,Palakkad,12828,12546,282,285
29,Thrissur,15034,14805,229,212
57,Ernakulam,13171,12852,319,272
15,Idukki,5718,5616,102,96
8,Kottayam,8963,8841,122,141
50,Alappuzha,6191,5877,314,326
48,Pathanamthitta,4899,4712,187,212
11,Kollam,9269,9147,122,163
87,Thiruvananthapuram,14171,13672,499,512
570,Total,182050,178356,3694,3442
