total_hospitalized,hospitalized_today,observation,district,isolation,active
1027,73,4844,Kasaragod,3817,1003
415,76,8731,Kannur,8316,489
351,41,2800,Wayanad,2449,282
1053,187,14209,Kozhikode,13156,1259
1340,281,32958,Malappuram,31618,1578
639,132,11578,Palakkad,10939,738
484,28,9708,Thrissur,9224,480
1179,114,12728,Ernakulam,11549,1277
238,21,3737,Idukki,3499,227
445,45,10105,Kottayam,9660,448
1108,30,6768,Alappuzha,5660,1127
214,10,5101,Pathanamthitta,4887,231
673,58,7606,Kollam,6933,556
2955,360,18834,Thiruvananthapuram,15879,3026
12121,1456,149707,Total,137586,12721
