active,isolation,deaths,recovered,confirmed,hospitalized_today,total_hospitalized,observation,district
4195,3834,63,10738,15000,62,1183,5017,Kasaragod
6413,15212,69,10875,17360,155,1097,16309,Kannur
1159,3671,5,3852,5016,34,851,4522,Wayanad
10767,28335,90,20537,31400,414,3775,32110,Kozhikode
8924,49334,100,26092,35123,193,2046,51380,Malappuram
6524,15614,40,11449,18014,200,1716,17330,Palakkad
8969,12509,63,13728,22764,309,2487,14996,Thrissur
11992,30953,95,16934,29029,143,2479,33432,Ernakulam
1575,13078,6,3554,5137,49,472,13550,Idukki
5531,16662,31,10089,15651,211,2093,18755,Kottayam
6220,11503,62,15042,21332,585,3159,14662,Alappuzha
3330,7755,6,7826,11163,167,1101,8856,Pathanamthitta
7385,17103,81,14986,22456,138,1549,18652,Kollam
11404,27541,314,33932,45687,415,4301,31842,Thiruvananthapuram
94388,253104,1025,199634,295132,3075,28309,281413,Total
