district,observation,deaths,active,confirmed,isolation,recovered,total_hospitalized,hospitalized_today
Kasaragod,5816,73,2079,20118,5374,17962,442,35
Kannur,18453,133,4823,28355,17662,23394,791,96
Wayanad,10796,19,1119,8397,10194,7259,602,50
Kozhikode,27241,158,8111,57065,24932,48789,2309,248
Malappuram,71285,173,6749,59086,70030,52155,1255,194
Palakkad,16337,66,6645,30980,15144,24267,1193,120
Thrissur,27921,166,8865,49296,25627,40260,2294,263
Ernakulam,32092,183,9849,54942,30019,44899,2073,121
Idukki,14296,9,1861,8781,13843,6909,453,62
Kottayam,19884,63,4804,28790,17966,23921,1918,277
Alappuzha,15162,123,8211,39993,14090,31643,1072,156
Pathanamthitta,10157,16,1996,17150,9394,15137,763,89
Kollam,18141,136,5527,40051,16789,34381,1352,112
Thiruvananthapuram,28002,478,7174,65252,25709,57553,2293,170
Total,315583,1796,77813,508256,296773,428529,18810,1993
