hospitalized_today,observation,deaths,confirmed,isolation,recovered,district,active,total_hospitalized
6,5511,89,24918,5301,23273,Kasaragod,1552,210
37,13987,222,42320,13630,39312,Kannur,2773,357
39,8930,55,19064,8581,16111,Wayanad,2897,349
79,21118,331,92560,20240,87085,Kozhikode,5128,878
105,21752,359,96262,21096,91534,Malappuram,4358,656
37,9717,153,50610,9271,45743,Palakkad,4707,446
78,24975,353,79428,24016,73830,Thrissur,5235,959
158,22642,343,91918,21291,82611,Ernakulam,8946,1351
38,7248,25,18935,6793,14840,Idukki,4066,455
130,12790,167,57132,11741,51498,Kottayam,5462,1049
70,8527,260,61303,7518,57087,Alappuzha,3935,1009
121,10801,64,35747,9752,28565,Pathanamthitta,7113,1049
84,10735,239,63884,10133,58484,Kollam,5145,602
148,20786,687,85684,19610,81686,Thiruvananthapuram,3239,1176
1130,199519,3347,819765,188973,751659,Total,64556,10546
