hospitalized_today,observation,isolation,total_hospitalized,district,active
138,4988,3910,1078,Kasaragod,1030
55,8927,8494,433,Kannur,448
8,2717,2379,338,Wayanad,274
104,14578,13511,1067,Kozhikode,1237
208,33791,32297,1494,Malappuram,1726
156,11681,10975,706,Palakkad,729
57,9704,9228,476,Thrissur,445
111,13356,12182,1174,Ernakulam,1355
6,3824,3605,219,Idukki,239
33,9515,9067,448,Kottayam,501
144,6920,5738,1182,Alappuzha,1182
23,5176,4963,213,Pathanamthitta,234
71,7228,6521,707,Kollam,536
266,19347,16456,2891,Thiruvananthapuram,3109
1380,151752,139326,12426,Total,13045
