hospitalized_today,recovered,deaths,confirmed,observation,active,total_hospitalized,isolation,district
15,21233,79,23002,7744,1686,276,7468,Kasaragod
63,32221,180,35634,22658,3227,530,22128,Kannur
81,11151,34,13366,11507,2180,689,10818,Wayanad
203,70378,237,76475,35990,5851,1411,34579,Kozhikode
139,74510,275,81668,86794,6873,1069,85725,Malappuram
141,37850,97,42756,13499,4803,938,12561,Palakkad
164,59257,296,65614,24209,6054,1421,22788,Thrissur
174,64440,264,72303,31621,7588,1314,30307,Ernakulam
29,10797,14,13910,9166,3097,345,8821,Idukki
212,36011,130,41628,13344,5485,1593,11751,Kottayam
90,47815,199,51424,8238,3391,1075,7163,Alappuzha
150,20380,30,23492,9768,3081,965,8803,Pathanamthitta
83,48564,194,51883,13684,3113,680,13004,Kollam
136,72512,594,76175,28325,3009,1091,27234,Thiruvananthapuram
1680,607119,2623,669330,316547,59438,13397,303150,Total
