district,confirmed,active,observation,recovered,isolation,hospitalized_today,deaths,total_hospitalized
Kasaragod,25082,1613,5734,23376,5522,8,89,212
Kannur,42814,2766,13802,39808,13423,55,226,379
Wayanad,19541,3022,8809,16461,8453,50,57,356
Kozhikode,93811,5316,20943,88140,20035,95,337,908
Malappuram,97383,4633,21524,92376,20857,115,362,667
Palakkad,51045,4735,9481,46149,9020,53,154,461
Thrissur,79865,5151,24743,74348,23800,107,356,943
Ernakulam,92916,9033,23195,83517,21829,172,348,1366
Idukki,19219,4298,7141,14891,6683,28,26,458
Kottayam,57721,5502,13147,52046,12029,248,168,1118
Alappuzha,61735,3878,8825,57574,7859,83,262,966
Pathanamthitta,36195,7223,10837,28901,9816,81,65,1021
Kollam,64412,5442,11213,58714,10566,105,239,647
Thiruvananthapuram,86070,3288,20865,82021,19658,133,689,1207
Total,827809,65373,200259,758322,189550,1333,3378,10709
