hospitalized_today,district,total_hospitalized,observation,isolation,active
4,Kasaragod,184,9641,9457,84
18,Kannur,114,7758,7644,43
0,Wayanad,5,9504,9499,1
5,Kozhikode,29,16240,16211,11
11,Malappuram,23,12189,12166,9
15,Palakkad,36,14216,14180,2
2,Thrissur,12,9316,9304,1
4,Ernakulam,28,1657,1629,5
0,Idukki,0,3674,3674,0
0,Kottayam,0,2280,2280,0
1,Alappuzha,11,6686,6675,3
3,Pathanamthitta,15,5920,5905,6
0,Kollam,11,5104,5093,6
18,Thiruvananthapuram,96,2890,2794,2
81,Total,564,107075,106511,173
