isolation,district,total_hospitalized,hospitalized_today,observation,active
4184,Kasaragod,987,46,5171,1066
8501,Kannur,435,69,8936,476
2444,Wayanad,315,17,2759,292
13540,Kozhikode,1210,283,14750,1326
32291,Malappuram,1472,179,33763,1634
11492,Palakkad,837,120,12329,948
9196,Thrissur,511,118,9707,496
12670,Ernakulam,1263,159,13933,1389
3924,Idukki,245,19,4169,298
8801,Kottayam,504,59,9305,585
6135,Alappuzha,1238,86,7373,1231
4904,Pathanamthitta,271,24,5175,313
6882,Kollam,654,25,7536,585
17327,Thiruvananthapuram,2792,275,20119,3455
142291,Total,12734,1479,155025,14094
