confirmed,isolation,deaths,active,observation,district,hospitalized_today,total_hospitalized,recovered
15858,4270,64,4017,5052,Kasaragod,42,782,11773
18590,15041,71,6113,16087,Kannur,116,1046,12403
5353,3599,5,1189,4394,Wayanad,79,795,4159
34438,27693,102,11036,31348,Kozhikode,462,3655,23294
37722,47164,109,8212,49232,Malappuram,205,2068,29393
19338,16509,40,6573,17986,Palakkad,114,1477,12724
25222,12037,64,9595,14460,Thrissur,249,2423,15559
32153,29573,102,12444,32054,Ernakulam,243,2481,19599
5473,12382,6,1503,12837,Idukki,55,455,3962
16972,15341,31,6051,17269,Kottayam,194,1928,10890
22797,13191,68,6104,14987,Alappuzha,208,1796,16615
11824,7998,6,3165,9106,Pathanamthitta,119,1108,8652
24465,17425,83,7562,19015,Kollam,170,1590,16815
47724,26778,338,10953,30845,Thiruvananthapuram,292,4067,36393
317929,249001,1089,94517,274672,Total,2548,25671,222231
