total_hospitalized,observation,active,hospitalized_today,recovered,confirmed,isolation,deaths,district
460,6069,1942,20,18381,20400,5609,73,Kasaragod
763,17653,4290,77,24728,29161,16890,138,Kannur
538,11899,1101,59,7654,8775,11361,20,Wayanad
1978,26791,7698,179,51285,59148,24813,158,Kozhikode
1163,78018,6692,138,54019,60905,76855,185,Malappuram
1132,15669,6799,117,25429,32301,14537,71,Palakkad
2107,28315,8525,224,42449,51157,26208,178,Thrissur
1945,31765,9616,137,47234,57047,29820,186,Ernakulam
445,13542,2085,80,7143,9240,13097,10,Idukki
1752,20100,4831,212,24923,29828,18348,72,Kottayam
1550,15277,8027,345,33329,41499,13727,127,Alappuzha
746,10223,2017,82,15619,17653,9477,16,Pathanamthitta
1176,19623,4985,109,36278,41411,18447,141,Kollam
2078,27352,6196,184,59736,66473,25274,494,Thiruvananthapuram
17833,322296,74804,1963,448207,524998,304463,1869,Total
