total_hospitalized,observation,district,isolation,confirmed,deaths,recovered,hospitalized_today,active
264,7614,Kasaragod,7350,23037,79,21331,1,1623
519,21701,Kannur,21182,35919,181,32508,58,3224
636,11526,Wayanad,10890,13708,36,11467,97,2204
1269,34738,Kozhikode,33469,76970,250,71275,84,5435
1125,82969,Malappuram,81844,82486,281,76046,178,6149
924,13062,Palakkad,12138,43295,105,38479,79,4705
1301,23960,Thrissur,22659,66594,301,60538,128,5748
1320,30508,Ernakulam,29188,73263,269,65438,77,7545
372,8621,Idukki,8249,14061,14,10917,66,3128
1547,11721,Kottayam,10174,42638,131,36803,125,5702
1089,7820,Alappuzha,6731,51966,201,48350,88,3396
1018,9607,Pathanamthitta,8589,24029,31,20781,89,3216
675,14266,Kollam,13591,52462,199,49733,104,2518
1119,26052,Thiruvananthapuram,24933,76827,602,73000,183,3164
13178,304165,Total,290987,677255,2680,616666,1357,57757
