isolation,confirmed,observation,district,hospitalized_today,total_hospitalized,active,deaths,recovered
4038,16092,4954,Kasaragod,64,916,3945,64,12079
15072,18995,16161,Kannur,128,1089,6069,80,12843
3695,5511,4430,Wayanad,55,735,1192,5,4314
27944,35408,31425,Kozhikode,352,3481,10849,105,24448
46083,38747,48092,Malappuram,144,2009,8805,109,29825
16871,19986,18280,Palakkad,173,1409,6899,40,13046
12839,26031,15084,Thrissur,246,2245,9568,69,16390
29591,32759,32133,Ernakulam,257,2542,12207,102,20442
12697,5597,13194,Idukki,45,497,1573,7,4015
16106,17404,18119,Kottayam,292,2013,6237,31,11136
13425,23360,15527,Alappuzha,487,2102,6486,68,16796
8200,12120,9172,Pathanamthitta,73,972,3203,7,8909
17798,24883,19340,Kollam,164,1542,7213,83,17582
26786,48319,30816,Thiruvananthapuram,296,4030,10762,343,37173
251145,325212,276727,Total,2776,25582,95008,1113,228998
