confirmed,total_hospitalized,hospitalized_today,isolation,active,observation,district,deaths,recovered
23097,247,3,6673,1553,6920,Kasaragod,80,21460
36169,541,69,20399,3373,20940,Kannur,181,32608
14069,690,103,10420,2409,11110,Wayanad,37,11622
77612,1226,117,32392,5287,33618,Kozhikode,252,72063
82923,1067,158,80544,5636,81611,Malappuram,288,76989
43696,884,56,11790,4774,12674,Palakkad,106,38810
67179,1332,189,22546,5781,23878,Thrissur,303,61088
74222,1301,199,29495,7783,30796,Ernakulam,270,66158
14247,368,42,7686,2998,8054,Idukki,14,11233
43206,1653,325,10707,5861,12360,Kottayam,131,37212
52407,996,95,6540,3466,7536,Alappuzha,205,48716
24472,1019,104,8542,3430,9561,Pathanamthitta,34,21007
52969,663,86,13751,2649,14414,Kollam,200,50108
77172,1151,132,24434,3184,25585,Thiruvananthapuram,606,73320
683440,13138,1678,285919,58184,299057,Total,2707,622394
