district,isolation,deaths,recovered,observation,hospitalized_today,active,total_hospitalized,confirmed
Kasaragod,6156,90,23545,6379,33,1632,223,25271
Kannur,13651,232,40141,14025,56,2853,374,43240
Wayanad,8532,58,16849,8881,43,3112,349,20020
Kozhikode,20855,347,89219,21829,82,5609,974,95193
Malappuram,20130,364,93531,20777,65,4443,647,98350
Palakkad,9068,155,46500,9506,39,4939,438,51602
Thrissur,23398,359,75543,24337,127,5319,939,81231
Ernakulam,22754,355,85499,24139,143,9545,1385,95420
Idukki,7152,27,15306,7643,38,4554,491,19892
Kottayam,12876,172,53635,14161,197,5486,1285,59299
Alappuzha,8166,271,58735,9181,119,3763,1015,62790
Pathanamthitta,10460,68,29879,11533,124,7750,1073,37704
Kollam,10691,244,59387,11369,101,6140,678,65788
Thiruvananthapuram,20578,700,82999,21801,188,3271,1223,87043
Total,194467,3442,770768,205561,1355,68416,11094,842843
