isolation,total_hospitalized,district,hospitalized_today,observation,active
4062,1006,Kasaragod,53,5068,971
8502,540,Kannur,77,9042,530
2294,373,Wayanad,65,2667,307
13911,1175,Kozhikode,193,15086,1503
32924,1766,Malappuram,273,34690,2137
12843,873,Palakkad,81,13716,850
9503,527,Thrissur,46,10030,488
13534,1112,Ernakulam,82,14646,1371
3997,251,Idukki,30,4248,279
9329,542,Kottayam,40,9871,620
6254,1334,Alappuzha,118,7588,1323
4717,302,Pathanamthitta,63,5019,344
7151,693,Kollam,52,7844,653
19772,2930,Thiruvananthapuram,375,22702,3934
148793,13424,Total,1548,162217,15310
