confirmed,hospitalized_today,recovered,isolation,district,total_hospitalized,observation,active,deaths
20560,14,18620,5769,Kasaragod,469,6238,1862,74
29606,65,25638,16491,Kannur,686,17177,3820,143
8909,60,7838,11767,Wayanad,509,12276,1050,21
60194,147,52672,24287,Kozhikode,1776,26063,7353,162
62177,126,55200,75751,Malappuram,1140,76891,6776,192
32866,120,27222,14841,Palakkad,1081,15922,5569,73
52052,161,43819,26405,Thrissur,1891,28296,8047,181
57939,79,48325,29654,Ernakulam,1759,31413,9411,192
9439,31,7480,13674,Idukki,449,14123,1946,11
30422,93,26107,18800,Kottayam,1649,20449,4240,73
42089,124,34384,12924,Alappuzha,1669,14593,7561,128
17895,63,15928,9526,Pathanamthitta,731,10257,1950,16
42284,128,37554,18192,Kollam,1087,19279,4578,145
67068,142,60607,25137,Thiruvananthapuram,1909,27046,5910,504
533500,1353,461394,303218,Total,16805,320023,70073,1915
