active,confirmed,district,deaths,isolation,recovered,total_hospitalized,hospitalized_today,observation
1592,23189,Kasaragod,80,5818,21513,255,9,6073
3537,36435,Kannur,182,23310,32709,542,53,23852
2340,14209,Wayanad,37,10158,11831,690,68,10848
5088,78197,Kozhikode,256,31285,72843,1236,125,32521
5628,83438,Malappuram,291,79785,77509,1125,158,80910
4802,44002,Palakkad,106,11617,39087,869,80,12486
5798,67636,Thrissur,303,22319,61528,1378,183,23697
7697,74703,Ernakulam,272,29098,66723,1353,163,30451
3142,14490,Idukki,15,7496,11331,382,35,7878
5789,43711,Kottayam,132,10654,37788,1643,260,12297
3308,52737,Alappuzha,209,6324,49200,1012,118,7336
3671,24904,Pathanamthitta,41,8481,21191,1052,127,9533
2574,53315,Kollam,203,13185,50526,654,70,13839
3189,77443,Thiruvananthapuram,607,23859,73585,1167,114,25026
58155,688409,Total,2734,283389,627364,13358,1563,296747
