observation,deaths,district,hospitalized_today,total_hospitalized,active,confirmed,recovered,isolation
6441,90,Kasaragod,33,246,1658,25350,23597,6195
14736,233,Kannur,54,407,2973,43479,40259,14329
8907,59,Wayanad,40,342,3158,20246,17028,8565
22397,349,Kozhikode,90,947,5827,95870,89676,21450
20902,364,Malappuram,50,615,4407,98829,94046,20287
9544,155,Palakkad,44,427,4894,51778,46721,9117
23949,361,Thrissur,108,940,5146,81493,75976,23009
24929,355,Ernakulam,124,1409,9885,96187,85926,23520
7709,29,Idukki,19,481,4706,20129,15389,7228
14532,173,Kottayam,179,1286,5517,59698,54002,13246
9662,273,Alappuzha,132,1059,3551,63092,59247,8603
12347,73,Pathanamthitta,148,1124,7735,38131,30316,11223
11515,247,Kollam,80,679,6400,66227,59563,10836
22109,702,Thiruvananthapuram,116,1215,3134,87339,83430,20894
209679,3463,Total,1217,11177,68991,847848,775176,198502
