isolation,hospitalized_today,total_hospitalized,district,observation,active
2849,20,275,Kasaragod,3124,14
6398,9,44,Kannur,6442,6
2415,7,30,Wayanad,2445,17
5567,16,35,Kozhikode,5602,11
8324,51,100,Malappuram,8424,21
7263,11,43,Palakkad,7306,12
5502,13,31,Thrissur,5533,6
5353,8,32,Ernakulam,5385,6
2746,0,4,Idukki,2750,1
3447,2,8,Kottayam,3455,2
2635,2,12,Alappuzha,2647,2
2432,5,12,Pathanamthitta,2444,2
3031,4,4,Kollam,3035,1
3793,11,44,Thiruvananthapuram,3837,0
61755,159,674,Total,62429,101
