active,recovered,observation,hospitalized_today,district,deaths,isolation,confirmed,total_hospitalized
1594,21588,6351,17,Kasaragod,81,6080,23267,271
3484,33058,23421,65,Kannur,183,22866,36733,555
2365,12023,10706,72,Wayanad,39,10050,14428,656
5174,73424,31766,133,Kozhikode,261,30541,78871,1225
5444,78173,79529,67,Malappuram,296,78437,83923,1092
4962,39292,12116,98,Palakkad,106,11263,44367,853
5850,62105,23447,140,Thrissur,304,22125,68266,1322
7769,67227,31318,155,Ernakulam,274,29917,75281,1401
3121,11465,8005,40,Idukki,15,7605,14603,400
5864,38251,12308,170,Kottayam,132,10657,44249,1651
3420,49411,7127,116,Alappuzha,210,6088,53061,1039
3885,21381,9511,156,Pathanamthitta,41,8403,25308,1108
2732,50809,13917,77,Kollam,203,13254,53756,663
3220,73858,25124,164,Thiruvananthapuram,612,23931,77752,1193
58884,632065,294646,1470,Total,2757,281217,693865,13429
