district,observation,recovered,total_hospitalized,isolation,confirmed,hospitalized_today,active,deaths
Kasaragod,6616,23614,263,6353,25385,18,1676,90
Kannur,14439,40426,412,14027,43666,59,2993,233
Wayanad,8861,17083,333,8528,20314,128,3170,60
Kozhikode,22184,90026,963,21221,96255,77,5859,352
Malappuram,20796,94534,603,20193,99186,60,4274,366
Palakkad,9703,46907,440,9263,51930,48,4859,156
Thrissur,23500,76581,911,22589,81675,89,4722,362
Ernakulam,25094,86444,1406,23688,96761,112,9941,355
Idukki,7812,15438,507,7305,20307,50,4835,29
Kottayam,14096,54111,1308,12788,60006,143,5715,174
Alappuzha,9635,59806,984,8651,63271,112,3167,277
Pathanamthitta,13340,30649,1072,12268,38254,108,7523,75
Kollam,11666,59830,691,10975,66549,90,6453,249
Thiruvananthapuram,22044,83648,1212,20832,87635,153,3212,702
Total,209786,779097,11105,198681,851194,1247,68399,3480
