isolation,hospitalized_today,observation,total_hospitalized,district,active
3424,1,3456,32,Kasaragod,16
6957,22,7013,56,Kannur,9
2779,7,2813,34,Wayanad,17
5914,9,5947,33,Kozhikode,13
8765,33,8858,93,Malappuram,22
7711,19,7769,58,Palakkad,13
6031,2,6062,31,Thrissur,10
5854,13,5894,40,Ernakulam,7
2936,1,2941,5,Idukki,1
3780,0,3788,8,Kottayam,4
2916,3,2931,15,Alappuzha,4
2679,4,2689,10,Pathanamthitta,4
3356,2,3362,6,Kollam,5
4214,11,4266,52,Thiruvananthapuram,5
67316,127,67789,473,Total,130
