district,observation,hospitalized_today,total_hospitalized,isolation,active
Kasaragod,5946,32,298,5648,316
Kannur,20153,25,449,19704,378
Wayanad,3442,13,145,3297,153
Kozhikode,13763,81,406,13357,328
Malappuram,41530,25,683,40847,551
Palakkad,11752,29,275,11477,272
Thrissur,13247,38,298,12949,265
Ernakulam,14763,123,646,14117,680
Idukki,6266,13,189,6077,214
Kottayam,9069,39,216,8853,232
Alappuzha,6600,57,632,5968,581
Pathanamthitta,4700,99,411,4289,434
Kollam,8820,40,298,8522,327
Thiruvananthapuram,13881,439,1895,11986,1685
Total,173932,1053,6841,167091,6416
