confirmed,total_hospitalized,observation,active,isolation,deaths,district,recovered,hospitalized_today
16743,754,4606,3561,3852,65,Kasaragod,13113,53
20214,1014,16793,6116,15779,82,Kannur,14013,81
5827,683,4957,1114,4274,5,Wayanad,4708,39
38082,3432,31267,10241,27835,115,Kozhikode,27720,290
42575,1820,51115,11008,49295,118,Malappuram,31441,212
21287,1335,18206,7229,16871,46,Palakkad,14011,166
28535,2135,17096,8570,14961,77,Thrissur,19884,351
35109,2488,32186,11321,29698,111,Ernakulam,23668,112
5927,419,11702,1656,11283,7,Idukki,4262,82
18509,2147,17019,6706,14872,34,Kottayam,11769,295
24714,1461,13968,6600,12507,71,Alappuzha,18031,78
12534,974,9386,2758,8412,7,Pathanamthitta,9768,114
26457,1576,18968,6797,17392,88,Kollam,19567,142
50368,3571,30022,9054,26451,356,Thiruvananthapuram,40913,380
346881,23809,277291,92731,253482,1182,Total,252868,2395
