active,recovered,observation,hospitalized_today,district,deaths,isolation,confirmed,total_hospitalized
1645,21656,5948,12,Kasaragod,81,5676,23386,272
3418,33388,22234,72,Kannur,187,21678,37001,556
2446,12180,10502,93,Wayanad,40,9810,14667,692
5331,74042,30804,180,Kozhikode,263,29506,79648,1298
5437,78837,79684,54,Malappuram,296,78647,84580,1037
5108,39530,12042,53,Palakkad,112,11226,44757,816
6064,62547,23351,165,Thrissur,304,21999,68922,1352
7987,67833,30119,103,Ernakulam,276,28744,76107,1375
3199,11558,7955,47,Idukki,15,7540,14774,415
5978,38713,12867,205,Kottayam,134,11235,44827,1632
3617,49673,7175,129,Alappuzha,216,6092,53526,1083
4073,21566,9517,121,Pathanamthitta,42,8385,25683,1132
2830,51118,13053,101,Kollam,204,12377,54165,676
3263,74173,24659,139,Thiruvananthapuram,616,23462,78115,1197
60396,636814,289910,1474,Total,2786,276377,700158,13533
