district,deaths,total_hospitalized,hospitalized_today,active,isolation,observation,confirmed,recovered
Kasaragod,91,251,6,1667,6448,6699,25448,23685
Kannur,237,431,55,3114,13465,13896,43967,40601
Wayanad,62,336,42,3217,8559,8895,20559,17279
Kozhikode,355,953,102,5876,21095,22048,96736,90486
Malappuram,368,598,95,4414,20319,20917,99695,94901
Palakkad,156,440,45,4903,9018,9458,52172,47105
Thrissur,367,867,71,4928,22392,23259,82215,76910
Ernakulam,356,1410,101,10495,23748,25158,97780,86907
Idukki,29,516,38,4908,7346,7862,20437,15495
Kottayam,174,1304,113,6263,12564,13868,60680,54237
Alappuzha,277,982,61,3439,8724,9706,63746,60009
Pathanamthitta,75,990,66,7001,12799,13789,38766,31683
Kollam,253,723,117,6763,10924,11647,67140,60106
Thiruvananthapuram,706,1204,148,3271,20769,21973,88039,83989
Total,3506,11005,1060,70259,198170,209175,857380,783393
