district,hospitalized_today,isolation,observation,total_hospitalized,active
Kasaragod,4,3952,4045,93,93
Kannur,27,14740,14946,206,123
Wayanad,4,3212,3243,31,22
Kozhikode,22,12506,12713,207,102
Malappuram,17,15421,15750,329,226
Palakkad,21,8845,9000,155,122
Thrissur,13,13088,13261,173,120
Ernakulam,11,12479,12629,150,115
Idukki,4,4227,4266,39,35
Kottayam,6,7416,7479,63,68
Alappuzha,9,6376,6484,108,92
Pathanamthitta,12,4642,4756,114,115
Kollam,18,7558,7667,109,103
Thiruvananthapuram,29,16193,16330,137,44
Total,197,130655,132569,1914,1380
