active,hospitalized_today,total_hospitalized,district,observation,isolation,deaths,confirmed,recovered
3178,96,1077,Kasaragod,4431,3354,56,11256,8018
4877,133,1241,Kannur,15707,14466,47,11924,6997
1098,115,805,Wayanad,3917,3112,5,3786,2683
7278,507,3236,Kozhikode,25360,22124,70,19891,12537
6508,167,2403,Malappuram,40634,38231,73,23511,16924
4560,226,1780,Palakkad,12632,10852,38,12376,7777
5895,345,2668,Thrissur,12485,9817,55,14246,8293
8334,237,2899,Ernakulam,26328,23429,69,19166,10755
1190,73,706,Idukki,10927,10221,3,3922,2727
4473,250,2785,Kottayam,20613,17828,19,11057,6565
5150,335,3432,Alappuzha,13984,10552,41,15065,9870
2216,130,1041,Pathanamthitta,8232,7191,6,8068,5845
6199,161,2063,Kollam,19519,17456,53,14636,8381
11386,375,4122,Thiruvananthapuram,28338,24216,236,35337,23680
72342,3150,30258,Total,243107,212849,771,204241,131052
