recovered,hospitalized_today,isolation,total_hospitalized,district,observation,active,confirmed,deaths
16458,44,4183,496,Kasaragod,4679,2250,18781,69
19894,93,18964,957,Kannur,19921,5090,25099,111
6188,66,7787,614,Wayanad,8401,961,7162,13
39749,312,24003,2534,Kozhikode,26537,8855,48747,137
42993,218,58599,1607,Malappuram,60206,9271,52421,149
19090,147,14712,1211,Palakkad,15923,7631,26778,56
30108,329,22962,2576,Thrissur,25538,10464,40703,127
33974,140,29916,2311,Ernakulam,32227,12651,46787,151
5760,27,10760,361,Idukki,11121,1578,7349,9
18453,297,16863,2292,Kottayam,19155,5565,24067,48
25222,368,11324,1841,Alappuzha,13165,8071,33409,102
12741,140,9182,1125,Pathanamthitta,10307,2581,15335,12
27731,156,16581,1418,Kollam,17999,6330,34180,113
50474,330,25663,2780,Thiruvananthapuram,28443,8377,59312,415
348835,2667,271499,22123,Total,293622,89675,440130,1512
