district,hospitalized_today,observation,isolation,total_hospitalized,active
Kasaragod,13,6107,6014,93,89
Kannur,17,13297,13100,197,108
Wayanad,6,4861,4844,17,9
Kozhikode,18,11860,11750,110,42
Malappuram,37,14243,14045,198,65
Palakkad,16,14233,14061,172,138
Thrissur,8,13601,13526,75,49
Ernakulam,8,13961,13868,93,32
Idukki,1,5838,5830,8,8
Kottayam,0,8895,8873,22,19
Alappuzha,2,7018,6971,47,38
Pathanamthitta,4,6878,6840,38,28
Kollam,8,8435,8383,52,35
Thiruvananthapuram,36,10434,10292,142,48
Total,174,139661,138397,1264,708
