district,total_hospitalized,isolation,hospitalized_today,observation,active
Kasaragod,591,3022,48,3613,714
Kannur,407,9418,27,9825,487
Wayanad,355,2485,51,2840,349
Kozhikode,780,10679,100,11459,801
Malappuram,817,31730,73,32547,825
Palakkad,432,10063,50,10495,415
Thrissur,534,12745,68,13279,489
Ernakulam,1081,11096,111,12177,886
Idukki,338,3892,35,4230,337
Kottayam,518,8867,83,9385,563
Alappuzha,758,5925,35,6683,668
Pathanamthitta,430,3533,169,3963,500
Kollam,654,7713,31,8367,661
Thiruvananthapuram,2685,12448,376,15133,3167
Total,10380,133616,1257,143996,10862
