district,deaths,observation,isolation,active,confirmed,total_hospitalized,recovered,hospitalized_today
Kasaragod,65,4535,3780,3297,16888,755,13522,23
Kannur,86,17235,16239,5968,20614,996,14557,93
Wayanad,5,5124,4461,1088,5914,663,4821,61
Kozhikode,115,30830,27568,10018,38888,3262,28749,301
Malappuram,123,54449,52650,10696,43361,1799,32534,189
Palakkad,46,18128,16864,7361,21690,1264,14282,101
Thrissur,82,17578,15445,8701,29431,2133,20644,307
Ernakulam,113,32493,30113,10989,35753,2380,24642,201
Idukki,7,12216,11787,1643,5999,429,4347,46
Kottayam,34,16606,14488,6775,18982,2118,12173,111
Alappuzha,73,14127,12408,6903,25306,1719,18317,544
Pathanamthitta,8,9504,8601,2704,12782,903,10069,71
Kollam,88,19748,18148,6620,27026,1600,20313,221
Thiruvananthapuram,361,29646,26195,9159,50838,3451,41273,323
Total,1206,282219,258747,91922,353472,23472,260243,2592
