active,confirmed,recovered,isolation,deaths,total_hospitalized,observation,district,hospitalized_today
1702,23480,21693,5746,81,277,6023,Kasaragod,10
3550,37293,33548,20383,187,595,20978,Kannur,61
2487,14873,12344,9631,41,758,10389,Wayanad,92
5291,80298,74726,28842,269,1213,30055,Kozhikode,83
5455,85242,79478,77582,299,1039,78621,Malappuram,91
5084,45004,39797,11110,116,826,11936,Palakkad,87
6189,69330,62826,21844,308,1392,23236,Thrissur,158
8076,76698,68332,27826,279,1431,29257,Ernakulam,138
3327,14999,11655,7590,15,401,7991,Idukki,39
6466,45732,39128,11699,136,1602,13301,Kottayam,131
3434,53780,50106,6122,219,1089,7211,Alappuzha,116
4250,26043,21748,8308,43,1174,9482,Pathanamthitta,147
3016,54649,51416,13221,204,688,13909,Kollam,99
3277,78448,74488,23494,619,1216,24710,Thiruvananthapuram,141
61604,705869,641285,273398,2816,13701,287099,Total,1393
