isolation,hospitalized_today,district,total_hospitalized,confirmed,observation,recovered,active,deaths
6359,20,Kasaragod,256,25512,6615,23747,1669,91
12730,58,Kannur,439,44248,13169,40843,3151,239
8324,70,Wayanad,383,20881,8707,17471,3347,62
20829,77,Kozhikode,968,97506,21797,90996,6132,358
19739,120,Malappuram,648,100232,20387,95441,4408,371
8874,52,Palakkad,447,52409,9321,47304,4941,156
22035,126,Thrissur,906,82656,22941,77352,4927,367
24178,191,Ernakulam,1468,98811,25646,87710,10721,358
7460,32,Idukki,508,20773,7968,15572,5167,29
13787,260,Kottayam,1358,61384,15145,54551,6652,175
9167,119,Alappuzha,997,64168,10164,60273,3594,280
12743,96,Pathanamthitta,1083,39420,13826,32724,6614,75
11125,110,Kollam,777,67779,11902,62409,5099,253
20306,129,Thiruvananthapuram,1224,88416,21530,84364,3269,710
197656,1460,Total,11462,864195,209118,790757,69691,3524
