confirmed,total_hospitalized,isolation,hospitalized_today,district,active,observation,deaths,recovered
3665,677,4259,105,Kasaragod,952,4936,20,2690
2441,736,8268,134,Kannur,684,9004,16,1739
1246,387,2666,40,Wayanad,353,3053,3,890
3527,1172,13678,119,Kozhikode,1060,14850,19,2444
6232,1794,38521,251,Malappuram,2709,40315,13,3506
3494,805,13279,57,Palakkad,893,14084,3,2596
2763,755,8349,78,Thrissur,759,9104,9,1993
4235,1308,15531,178,Ernakulam,1625,16839,29,2573
1405,297,3913,70,Idukki,342,4210,3,1059
2596,793,9529,202,Kottayam,930,10322,2,1664
4002,1632,6294,326,Alappuzha,1776,7926,10,2213
2321,411,4979,111,Pathanamthitta,533,5390,3,1783
2871,791,8378,34,Kollam,754,9169,12,2102
11401,3088,20899,493,Thiruvananthapuram,4756,23987,49,6572
52199,14646,158543,2198,Total,18126,173189,191,33824
