active,observation,hospitalized_today,district,isolation,confirmed,deaths,recovered,total_hospitalized
3249,4672,29,Kasaragod,3888,17088,65,13770,784
6105,17210,146,Kannur,16183,21180,89,14983,1027
1128,5468,100,Wayanad,4766,6046,5,4913,702
10471,30131,329,Kozhikode,26914,40046,115,29454,3217
10532,54785,135,Malappuram,53054,44029,123,33366,1731
7403,17680,137,Palakkad,16419,22107,48,14655,1261
9438,18124,192,Thrissur,16010,30377,88,20847,2114
11206,32128,209,Ernakulam,29701,36943,116,25612,2427
1672,11139,26,Idukki,10712,6099,7,4418,427
6897,16503,248,Kottayam,14320,19508,34,12577,2183
6952,14181,808,Alappuzha,13023,26126,74,19086,1158
2620,9654,63,Pathanamthitta,8774,13029,9,10399,880
6646,19316,150,Kollam,17677,27768,93,21024,1639
9106,29241,327,Thiruvananthapuram,25775,51495,366,41978,3466
93425,280232,2899,Total,257216,361841,1232,267082,23016
