total_hospitalized,confirmed,recovered,active,deaths,observation,isolation,district,hospitalized_today
258,25599,23808,1694,92,6400,6142,Kasaragod,11
468,44547,41063,3226,242,13153,12685,Kannur,66
391,21119,17706,3350,62,7919,7528,Wayanad,46
964,98085,91521,6183,361,21573,20609,Kozhikode,103
658,100889,96013,4491,372,20229,19571,Malappuram,130
453,52650,47427,5059,156,9189,8736,Palakkad,42
935,83124,77754,4989,371,22841,21906,Thrissur,118
1487,99582,88423,10775,361,26837,25350,Ernakulam,155
512,21075,15701,5340,29,8220,7708,Idukki,61
1346,62031,55248,6601,176,15459,14113,Kottayam,224
1062,64583,60671,3609,282,10316,9254,Alappuzha,140
1133,39954,33522,6350,75,13883,12750,Pathanamthitta,113
795,68407,63432,4702,255,11977,11182,Kollam,101
1259,88884,84697,3402,711,21832,20573,Thiruvananthapuram,172
11721,870529,796986,69771,3545,209828,198107,Total,1482
