hospitalized_today,district,isolation,total_hospitalized,observation,active
6,Kasaragod,4633,96,4729,100
32,Kannur,16554,219,16773,135
8,Wayanad,3417,34,3451,23
31,Kozhikode,14474,196,14670,109
46,Malappuram,18494,342,18836,210
35,Palakkad,9401,175,9576,149
16,Thrissur,14618,132,14750,105
20,Ernakulam,12852,170,13022,122
6,Idukki,4268,47,4315,47
14,Kottayam,7929,78,8007,88
4,Alappuzha,6719,111,6830,85
29,Pathanamthitta,4739,126,4865,122
31,Kollam,8048,157,8205,137
47,Thiruvananthapuram,15773,167,15940,58
325,Total,141919,2050,143969,1490
