hospitalized_today,isolation,district,observation,total_hospitalized,active
53,4742,Kasaragod,5354,612,901
79,8553,Kannur,9287,734,801
29,2932,Wayanad,3300,368,306
155,13698,Kozhikode,14837,1139,1201
322,38629,Malappuram,40582,1953,2665
101,13337,Palakkad,14093,756,764
103,8600,Thrissur,9395,795,779
151,15764,Ernakulam,17094,1330,1811
36,3910,Idukki,4222,312,326
121,10185,Kottayam,11004,819,987
106,7007,Alappuzha,8663,1656,1814
135,5001,Pathanamthitta,5493,492,546
117,8643,Kollam,9479,836,780
620,20789,Thiruvananthapuram,24127,3338,4992
2128,161790,Total,176930,15140,18673
