hospitalized_today,active,district,observation,recovered,total_hospitalized,confirmed,deaths,isolation
37,3210,Kasaragod,4831,14025,812,17304,65,4019
114,5910,Kannur,17439,15555,1056,21557,89,16383
58,1079,Wayanad,5659,5033,690,6117,5,4969
305,10248,Kozhikode,29708,30607,3208,40978,117,26500
179,10693,Malappuram,55678,34097,1759,44926,128,53919
121,7629,Palakkad,17852,14894,1274,22572,48,16578
344,9113,Thrissur,18284,22017,2216,31224,90,16068
217,11716,Ernakulam,31729,26026,2283,37872,121,29446
32,1643,Idukki,10194,4512,436,6164,7,9758
259,7061,Kottayam,17877,12744,2256,19840,35,15621
868,7019,Alappuzha,14067,19855,1590,26963,75,12477
126,2565,Pathanamthitta,9748,10649,930,13224,9,8818
142,6375,Kollam,19081,21774,1409,28249,95,17672
362,9030,Thiruvananthapuram,28779,42887,3274,52333,371,25505
3164,93291,Total,280926,274675,23193,369323,1255,257733
