deaths,hospitalized_today,total_hospitalized,confirmed,active,recovered,district,observation,isolation
74,24,357,21137,1728,19331,Kasaragod,6874,6517
147,63,648,30851,3189,27510,Kannur,16730,16082
21,78,613,9621,1217,8383,Wayanad,10461,9848
178,236,1679,63593,6838,56570,Kozhikode,24688,23009
209,128,1299,66160,7294,58648,Malappuram,82874,81575
76,138,1168,35258,5414,29765,Palakkad,16162,14994
206,195,1800,55065,7506,47348,Thrissur,28511,26711
201,199,1577,61094,8745,52137,Ernakulam,28436,26859
11,40,446,10457,2349,8095,Idukki,14681,14235
82,228,1619,32338,3869,28385,Kottayam,20474,18855
145,135,1487,44464,6798,37504,Alappuzha,12645,11158
16,107,743,18888,2091,16780,Pathanamthitta,10208,9465
155,132,1373,44602,3842,40598,Kollam,20312,18939
528,126,1597,69167,4981,63610,Thiruvananthapuram,28241,26644
2049,1829,16406,562695,65861,494664,Total,321297,304891
