deaths,hospitalized_today,district,recovered,confirmed,total_hospitalized,isolation,observation,active
41,34,Kasaragod,6507,8709,1034,3696,4730,2158
40,115,Kannur,5275,8271,992,14018,15010,2953
5,71,Wayanad,2035,2716,657,2801,3458,676
47,382,Kozhikode,8481,12405,3392,18222,21614,3872
58,295,Malappuram,12703,16321,2440,33273,35713,3554
26,225,Palakkad,6073,8395,1736,6770,8506,2295
39,185,Thrissur,6158,9232,1708,9884,11592,3033
55,251,Ernakulam,8420,12258,2099,20708,22807,3775
3,74,Idukki,2173,2888,560,7878,8438,710
8,127,Kottayam,5126,7986,2264,17787,20051,2852
19,108,Alappuzha,7546,10414,2305,10034,12339,2847
3,18,Pathanamthitta,4652,6055,1023,6638,7661,1399
42,171,Kollam,6418,9476,1561,20545,22106,3013
186,374,Thiruvananthapuram,20164,27630,4011,22234,26245,7248
572,2430,Total,101731,142756,25782,194488,220270,40385
