observation,deaths,hospitalized_today,active,confirmed,total_hospitalized,district,recovered,isolation
4856,65,48,3086,17493,819,Kasaragod,14338,4037
17785,91,121,5866,22054,1016,Kannur,16093,16769
5966,5,79,1112,6263,698,Wayanad,5146,5268
29678,120,303,10013,41729,3042,Kozhikode,31590,26636
55329,128,211,11744,46301,1697,Malappuram,34421,53632
17767,48,143,7921,23103,1272,Palakkad,15133,16495
18492,91,321,9193,32244,2204,Thrissur,22956,16288
31859,123,224,11939,38746,2305,Ernakulam,26675,29554
10585,7,32,1706,6304,419,Idukki,4589,10166
17196,40,188,7310,20266,2291,Kottayam,12916,14905
13812,82,402,7536,27679,1467,Alappuzha,20047,12345
9858,9,121,2523,13509,962,Pathanamthitta,10976,8896
18556,97,152,6504,28920,1367,Kollam,22314,17189
28445,375,425,9204,53223,3221,Thiruvananthapuram,43599,25224
280184,1281,2770,95657,377834,22780,Total,280793,257404
