deaths,confirmed,hospitalized_today,recovered,active,total_hospitalized,observation,district,isolation
83,23663,12,21929,1647,265,5355,Kasaragod,5090
189,37982,42,34309,3476,563,16554,Kannur,15991
46,15400,115,12811,2542,725,9760,Wayanad,9035
272,82008,115,76371,5352,1157,26745,Kozhikode,25588
312,86933,103,81451,5160,976,73918,Malappuram,72942
119,45979,86,40644,5209,761,11329,Palakkad,10568
312,70900,176,64442,6138,1334,23292,Thrissur,21958
291,78714,93,69931,8480,1321,30058,Ernakulam,28737
15,15404,27,12312,3074,385,8265,Idukki,7880
139,47351,202,40643,6566,1916,13757,Kottayam,11841
227,54782,55,50790,3744,917,7571,Alappuzha,6654
45,27107,121,22450,4610,1172,9479,Pathanamthitta,8307
211,55880,202,52214,3442,817,13952,Kollam,13135
631,79407,133,75347,3362,1252,24171,Thiruvananthapuram,22919
2892,721510,1482,655644,62802,13561,274206,Total,260645
