hospitalized_today,observation,district,total_hospitalized,isolation,active
101,4861,Kasaragod,465,4396,473
67,13761,Kannur,530,13231,555
11,2955,Wayanad,201,2754,185
103,12041,Kozhikode,625,11416,503
56,37641,Malappuram,780,36861,671
40,10962,Palakkad,400,10562,331
85,13378,Thrissur,397,12981,399
84,14121,Ernakulam,873,13248,989
46,4847,Idukki,302,4545,356
60,9854,Kottayam,322,9532,390
51,6456,Alappuzha,708,5748,763
79,5152,Pathanamthitta,467,4685,515
35,8022,Kollam,713,7309,745
252,14066,Thiruvananthapuram,2571,11495,2583
1070,158117,Total,9354,148763,9458
