recovered,isolation,deaths,hospitalized_today,total_hospitalized,observation,active,confirmed,district
19529,6628,75,8,329,6957,1660,21268,Kasaragod
28014,16171,149,53,612,16783,3091,31259,Kannur
8576,9237,22,58,567,9804,1165,9763,Wayanad
58050,21852,180,156,1616,23468,6411,64648,Kozhikode
59792,82753,211,199,1346,84099,8023,68035,Malappuram
30791,14792,79,131,1119,15911,5169,36042,Palakkad
48946,26847,213,160,1650,28497,6735,55899,Thrissur
53104,24794,207,61,1473,26267,8667,61989,Ernakulam
8281,14468,11,28,454,14922,2334,10628,Idukki
29023,16584,87,180,1605,18189,3966,33078,Kottayam
38010,9629,153,88,1516,11145,6933,45113,Alappuzha
17053,9499,16,60,728,10227,2072,19142,Pathanamthitta
41267,19040,158,148,1319,20359,3830,45262,Kollam
64802,26608,534,159,1516,28124,4362,69746,Thiruvananthapuram
505238,298902,2095,1489,15850,314752,64418,571872,Total
