active,hospitalized_today,total_hospitalized,deaths,observation,recovered,isolation,district,confirmed
1755,16,229,92,6310,24025,6081,Kasaragod,25877
3486,56,503,244,12950,41795,12447,Kannur,45542
3702,57,418,65,7136,18188,6718,Wayanad,21956
6755,104,1012,368,22094,93259,21082,Kozhikode,100402
4260,124,619,376,20613,97760,19994,Malappuram,102409
5188,69,492,166,9402,48014,8910,Palakkad,53376
5106,127,938,379,22221,79012,21283,Thrissur,84508
10607,159,1556,364,26780,91511,25224,Ernakulam,102505
5055,41,504,31,8909,16806,8405,Idukki,21897
6881,165,1396,178,16013,56871,14617,Kottayam,63936
3600,148,1157,286,11936,61843,10779,Alappuzha,65750
6838,145,1165,79,14139,34669,12974,Pathanamthitta,41593
5878,98,887,255,12670,64055,11783,Kollam,70207
3780,144,1350,724,23116,85742,21766,Thiruvananthapuram,90320
72891,1453,12226,3607,214289,813550,202063,Total,890278
