observation,hospitalized_today,district,isolation,total_hospitalized,active
4570,0,Kasaragod,4538,32,26
9726,31,Kannur,9587,139,67
3568,1,Wayanad,3550,18,9
8313,15,Kozhikode,8254,59,22
11061,38,Malappuram,10936,125,49
10372,30,Palakkad,10298,74,48
8638,9,Thrissur,8595,43,16
8585,6,Ernakulam,8519,66,13
4282,5,Idukki,4271,11,2
5861,3,Kottayam,5850,11,10
4349,10,Alappuzha,4321,28,16
4282,3,Pathanamthitta,4260,22,9
5425,7,Kollam,5406,19,11
6362,30,Thiruvananthapuram,6277,85,24
95394,188,Total,94662,732,322
