observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5288,720,Kasaragod,2891,23,1175,4568,4092,47
10059,827,Kannur,1972,18,808,9232,2800,113
3771,294,Wayanad,1050,3,274,3477,1327,12
14812,1491,Kozhikode,2769,25,1318,13321,4117,232
43035,2262,Malappuram,4281,19,3012,40773,7317,255
13515,566,Palakkad,3200,3,695,12949,3899,76
9802,1019,Thrissur,2230,11,980,8783,3223,78
17318,1364,Ernakulam,3074,33,1765,15954,4879,257
4302,285,Idukki,1190,3,330,4017,1524,28
13133,928,Kottayam,1984,3,1044,12205,3031,106
9444,1871,Alappuzha,2609,12,1922,7573,4545,224
5724,666,Pathanamthitta,1926,3,672,5058,2602,131
9195,881,Kollam,2296,15,961,8314,3275,31
24050,3863,Thiruvananthapuram,7415,63,5370,20187,12873,287
183448,17037,Total,38887,234,20326,166411,59504,1877
