active,total_hospitalized,district,confirmed,observation,isolation,deaths,recovered,hospitalized_today
2134,772,Kasaragod,9145,3966,3194,41,6967,51
3151,1092,Kannur,9042,14478,13386,40,5848,129
709,657,Wayanad,2881,3444,2787,5,2167,89
4511,3337,Kozhikode,13792,22046,18709,60,9216,402
3942,2565,Malappuram,17596,30356,27791,60,13588,303
2662,1867,Palakkad,9026,8146,6279,26,6337,212
3476,1977,Thrissur,10184,11233,9256,40,6665,285
4486,2224,Ernakulam,13472,22596,20372,56,8922,254
824,597,Idukki,3118,7851,7254,3,2289,78
3050,2135,Kottayam,8589,19386,17251,8,5531,162
3443,2819,Alappuzha,11368,12440,9621,26,7896,487
1585,1120,Pathanamthitta,6467,7770,6650,3,4878,204
3606,1818,Kollam,10419,21629,19811,45,6765,188
8343,4140,Thiruvananthapuram,29357,26977,22837,200,20781,497
45922,27120,Total,154456,212318,185198,613,107850,3341
