total_hospitalized,observation,district,hospitalized_today,isolation,active
29,4655,Kasaragod,2,4626,34
137,10093,Kannur,21,9956,77
18,3654,Wayanad,0,3636,8
52,8592,Kozhikode,11,8540,26
157,11329,Malappuram,36,11172,48
82,10759,Palakkad,10,10677,53
49,8937,Thrissur,9,8888,16
67,9001,Ernakulam,10,8934,12
9,4420,Idukki,1,4411,2
10,6087,Kottayam,0,6077,12
33,4681,Alappuzha,7,4648,19
26,4546,Pathanamthitta,8,4520,12
22,5669,Kollam,7,5647,11
101,6855,Thiruvananthapuram,30,6754,29
792,99278,Total,152,98486,359
