hospitalized_today,district,isolation,observation,total_hospitalized,active
100,Kasaragod,3961,4480,519,584
32,Kannur,12346,12788,442,489
22,Wayanad,2758,2914,156,147
101,Kozhikode,10957,11525,568,573
66,Malappuram,36623,37323,700,591
36,Palakkad,10169,10561,392,335
47,Thrissur,12932,13388,456,411
138,Ernakulam,11739,12599,860,909
31,Idukki,4344,4632,288,317
51,Kottayam,8946,9273,327,397
81,Alappuzha,5510,6295,785,785
60,Pathanamthitta,5005,5284,279,357
72,Kollam,7941,8710,769,859
314,Thiruvananthapuram,12088,14528,2440,2666
1151,Total,145319,154300,8981,9420
