deaths,active,hospitalized_today,district,total_hospitalized,recovered,confirmed,observation,isolation
68,2556,25,Kasaragod,620,15266,17894,4980,4360
99,5747,79,Kannur,1061,17082,22932,18974,17913
9,936,28,Wayanad,593,5512,6457,6367,5774
123,9450,276,Kozhikode,3013,34286,43865,28986,25973
136,11700,212,Malappuram,1783,36682,48526,57396,55613
49,7695,111,Palakkad,1206,16465,24210,16971,15765
98,10076,329,Thrissur,2431,24643,34821,19719,17288
132,11623,310,Ernakulam,2235,29425,41189,31831,29596
7,1932,57,Idukki,441,4795,6736,10568,10127
44,7336,220,Kottayam,2352,13923,21304,19448,17096
90,7270,784,Alappuzha,1627,21885,29259,13058,11431
10,2644,167,Pathanamthitta,994,11512,14167,10163,9169
100,6092,95,Kollam,1392,24303,30500,16637,15245
387,8687,281,Thiruvananthapuram,3050,46238,55357,28375,25325
1352,93744,2974,Total,22798,302017,397217,283473,260675
